Date,Close/Last,Volume,Open,High,Low
03/14/2025,$607.60,12364510,$602.805,$608.86,$594.78
03/13/2025,$590.64,16480320,$620.245,$620.50,$586.51
03/12/2025,$619.56,15746970,$629.90,$633.33,$609.35
03/11/2025,$605.71,17401470,$595.055,$614.934,$593.33
03/10/2025,$597.99,21999940,$608.07,$610.1059,$586.8701
03/07/2025,$625.66,21375670,$625.37,$634.79,$600.61
03/06/2025,$627.93,13446450,$648.00,$650.5625,$624.11
03/05/2025,$656.47,13770030,$641.00,$659.50,$637.66
03/04/2025,$640.00,21495210,$645.51,$649.75,$623.65
03/03/2025,$655.05,10843760,$673.675,$681.25,$650.8439
02/28/2025,$668.20,17534170,$658.04,$669.63,$642.6017
02/27/2025,$658.24,12500010,$682.45,$688.6469,$657.57
02/26/2025,$673.70,14488710,$659.65,$683.0078,$658.00
02/25/2025,$657.50,20579660,$665.972,$668.00,$641.86
02/24/2025,$668.13,15676990,$686.28,$687.27,$662.45
02/21/2025,$683.55,15660360,$696.58,$703.87,$682.36
02/20/2025,$694.84,12587410,$697.275,$705.63,$693.64
02/19/2025,$703.77,17535480,$704.095,$707.00,$695.39
02/18/2025,$716.37,21938700,$736.00,$737.00,$706.44
02/14/2025,$736.67,16901250,$726.14,$740.91,$725.62
02/13/2025,$728.56,12569060,$721.52,$729.00,$718.04
02/12/2025,$725.38,12016520,$715.30,$727.10,$712.60
02/11/2025,$719.80,12997960,$713.32,$723.66,$710.04
02/10/2025,$717.40,12904320,$718.56,$721.20,$711.33
02/07/2025,$714.52,16427070,$716.795,$725.01,$711.75
02/06/2025,$711.99,13080690,$705.88,$718.90,$703.50
02/05/2025,$704.87,17793770,$703.55,$718.14,$699.01
02/04/2025,$704.19,13826270,$702.50,$707.71,$691.61
02/03/2025,$697.46,21415740,$675.91,$704.00,$675.25
01/31/2025,$689.18,19331660,$691.00,$705.2999,$685.58
01/30/2025,$687.00,29322900,$696.82,$710.79,$676.10
01/29/2025,$676.49,21377820,$675.00,$681.0459,$665.67
01/28/2025,$674.33,20950110,$666.00,$682.58,$659.465
01/27/2025,$659.88,28399190,$626.61,$663.87,$625.10
01/24/2025,$647.49,19065330,$636.40,$652.00,$634.20
01/23/2025,$636.45,9910163,$627.36,$636.60,$621.15
01/22/2025,$623.50,12274010,$623.30,$633.70,$619.435
01/21/2025,$616.46,11674020,$617.825,$621.50,$609.0082
01/17/2025,$612.77,17280600,$624.05,$624.97,$603.67
01/16/2025,$611.30,8355349,$611.50,$616.25,$609.71
01/15/2025,$617.12,15524300,$610.21,$622.46,$606.50
01/14/2025,$594.25,13597990,$605.065,$605.49,$588.55
01/13/2025,$608.33,10785030,$607.10,$608.97,$598.445
01/10/2025,$615.86,19256560,$610.03,$629.91,$597.34
01/08/2025,$610.72,10085850,$613.395,$616.4397,$602.79
01/07/2025,$617.89,12071480,$631.70,$632.1011,$608.23
01/06/2025,$630.20,14560750,$611.825,$630.99,$605.62
01/03/2025,$604.63,11436780,$604.76,$609.50,$596.4136
01/02/2025,$599.24,12682270,$589.72,$604.91,$587.82
12/31/2024,$585.51,6019520,$592.265,$593.97,$583.85
12/30/2024,$591.24,7025864,$588.75,$596.9399,$585.58
12/27/2024,$599.81,8084229,$599.41,$601.85,$589.80
12/26/2024,$603.35,6091239,$605.48,$606.30,$598.94
12/24/2024,$607.75,4726056,$602.715,$607.99,$599.2849
12/23/2024,$599.85,10205750,$589.60,$601.09,$586.25
12/20/2024,$585.25,48989390,$590.58,$603.11,$580.00
12/19/2024,$595.57,14958080,$610.39,$611.52,$595.00
12/18/2024,$597.19,17075480,$621.00,$627.36,$596.32
12/17/2024,$619.44,12897840,$626.17,$632.37,$616.54
12/16/2024,$624.24,10885630,$629.975,$631.15,$618.58
12/13/2024,$620.35,8453349,$627.22,$631.08,$616.886
12/12/2024,$630.79,7474717,$631.50,$636.6599,$627.2094
12/11/2024,$632.68,10837230,$623.37,$638.40,$621.5349
12/10/2024,$619.32,10938850,$617.56,$625.59,$612.74
12/09/2024,$613.57,11426020,$623.925,$626.40,$606.1701
12/06/2024,$623.77,16935500,$610.10,$629.7899,$608.53
12/05/2024,$608.93,8081212,$617.075,$619.90,$607.05
12/04/2024,$613.78,14697010,$612.96,$617.78,$605.10
12/03/2024,$613.65,14907160,$595.00,$614.20,$591.2501
12/02/2024,$592.83,12522370,$577.50,$594.50,$575.57
11/29/2024,$574.32,7130519,$569.00,$578.46,$566.90
11/27/2024,$569.20,7200228,$574.89,$574.98,$564.1001
11/26/2024,$573.54,10356550,$566.00,$577.50,$565.20
11/25/2024,$565.11,13599830,$562.10,$572.5915,$556.39
11/22/2024,$559.14,9164004,$563.55,$563.8273,$554.59
11/21/2024,$563.09,11154750,$569.52,$570.00,$549.05
11/20/2024,$565.52,9797339,$562.93,$566.3499,$554.2001
11/19/2024,$561.09,9522445,$551.86,$561.43,$550.60
11/18/2024,$554.40,14346720,$557.04,$559.90,$550.09
11/15/2024,$554.08,17712860,$571.22,$572.57,$551.50
11/14/2024,$577.16,11053740,$577.00,$580.76,$573.01
11/13/2024,$580.00,10757580,$582.605,$585.64,$575.17
11/12/2024,$584.82,16287720,$588.545,$599.66,$580.38
11/11/2024,$583.17,10209050,$586.36,$587.00,$576.51
11/08/2024,$589.34,9415699,$591.54,$593.10,$584.52
11/07/2024,$591.70,14653710,$576.89,$594.7999,$575.21
11/06/2024,$572.05,18305430,$562.75,$573.00,$555.1679
11/05/2024,$572.43,9775379,$567.305,$573.48,$566.67
11/04/2024,$560.68,12064600,$564.10,$568.69,$557.89
11/01/2024,$567.16,15303240,$567.605,$573.67,$562.56
10/31/2024,$567.58,26838400,$585.00,$589.90,$563.01
10/30/2024,$591.80,26864930,$600.98,$601.20,$589.38
10/29/2024,$593.28,13019090,$580.145,$593.67,$575.398
10/28/2024,$578.16,10925130,$582.00,$583.7499,$574.12
10/25/2024,$573.25,11337870,$573.935,$581.29,$571.72
10/24/2024,$567.78,7184651,$567.125,$568.8799,$561.52
10/23/2024,$563.69,14248420,$579.97,$585.00,$562.50
10/22/2024,$582.01,8544463,$574.29,$583.53,$572.12
10/21/2024,$575.16,8171879,$576.03,$577.2399,$569.11
10/18/2024,$576.47,7694274,$581.10,$583.9675,$575.25
10/17/2024,$576.93,8701158,$583.33,$584.97,$575.20
10/16/2024,$576.79,11268380,$581.395,$582.08,$574.03
10/15/2024,$586.27,9564236,$590.16,$590.61,$580.143
10/14/2024,$590.42,8251971,$594.22,$600.10,$589.96
10/11/2024,$589.95,8587051,$584.83,$591.21,$582.71
10/10/2024,$583.83,7740449,$587.57,$590.23,$582.52
10/09/2024,$590.51,9529707,$593.99,$594.39,$581.61
10/08/2024,$592.89,7857377,$589.69,$593.56,$585.97
10/07/2024,$584.78,12014200,$598.22,$602.95,$584.04
10/04/2024,$595.94,14199790,$583.73,$596.85,$581.43
10/03/2024,$582.77,11580980,$570.15,$583.36,$568.73
10/02/2024,$572.81,6524650,$574.86,$576.00,$569.34
10/01/2024,$576.47,15259270,$577.98,$583.04,$570.10
09/30/2024,$572.44,12807210,$567.70,$574.68,$564.80
09/27/2024,$567.36,9398367,$570.10,$570.8399,$564.51
09/26/2024,$567.84,14400790,$575.73,$577.40,$562.3501
09/25/2024,$568.31,16543350,$564.05,$576.88,$563.72
09/24/2024,$563.33,12992960,$566.68,$567.745,$554.19
09/23/2024,$564.41,12830670,$569.50,$573.9799,$562.41
09/20/2024,$561.35,22066820,$560.00,$564.50,$556.3001
09/19/2024,$559.10,15646950,$550.00,$562.07,$546.52
09/18/2024,$537.95,10323540,$537.065,$544.20,$533.9026
09/17/2024,$536.315,11690780,$537.60,$542.10,$530.57
09/16/2024,$533.28,9527646,$524.54,$534.10,$517.40
